time	thread	event	node	message	data
11:07:55.915986	7578204	Start	Source	1	0
11:07:55.917128	7578204	Stop	Source	1	0
11:07:55.917195	7578204	Start	Calibration[C]	1	1
11:07:55.917241	7578212	Start	Histogramming	1	0
11:07:55.917282	7578214	Start	Calibration[B]	1	13
11:07:55.917231	7578208	Start	Source	2	0
11:07:55.917372	7578208	Stop	Source	2	0
11:07:55.917364	7578206	Start	Propagating	1	0
11:07:55.917424	7578213	Start	Propagating	2	0
11:07:55.917406	7578208	Start	Source	3	0
11:07:55.917503	7578208	Stop	Source	3	0
11:07:55.917556	7578208	Start	Source	4	0
11:07:55.917587	7578208	Stop	Source	4	0
11:07:55.917600	7578207	Start	Propagating	3	0
11:07:55.917611	7578208	Start	Source	5	0
11:07:55.917651	7578210	Start	Propagating	4	0
11:07:55.917657	7578208	Stop	Source	5	0
11:07:55.917332	7578211	Start	Generating	1	0
11:07:55.917741	7578208	Start	Source	6	0
11:07:55.917765	7578208	Stop	Source	6	0
11:07:55.917772	7578208	Start	Source	7	0
11:07:55.917777	7578208	Stop	Source	7	0
11:07:55.917782	7578208	Start	Source	8	0
11:07:55.917787	7578208	Stop	Source	8	0
11:07:55.917793	7578208	Start	Source	9	0
11:07:55.917798	7578208	Stop	Source	9	0
11:07:55.917803	7578208	Start	Source	10	0
11:07:55.917808	7578208	Stop	Source	10	0
11:07:55.917828	7578208	Start	Source	11	0
11:07:55.917833	7578208	Stop	Source	11	0
11:07:55.917846	7578208	Start	Source	12	0
11:07:55.917875	7578208	Stop	Source	12	0
11:07:55.917835	7578209	Start	Propagating	10	0
11:07:55.917886	7578208	Start	Source	13	0
11:07:55.917920	7578208	Stop	Source	13	0
11:07:55.917930	7578208	Start	Source	14	0
11:07:55.917940	7578208	Stop	Source	14	0
11:07:55.917946	7578208	Start	Source	15	0
11:07:55.917956	7578208	Stop	Source	15	0
11:07:55.917961	7578208	Start	Source	16	0
11:07:55.917967	7578208	Stop	Source	16	0
11:07:55.917887	7578215	Start	Propagating	6	0
11:07:55.917859	7578205	Start	Propagating	5	0
11:07:55.917972	7578208	Start	Source	17	0
11:07:55.922861	7578208	Stop	Source	17	0
11:07:55.922872	7578208	Start	Source	18	0
